symbol,asset_name,sector,industry,first_traded,index_inclusion
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication Services,Telecom Services,1981-12-15,
ICFI,ICF INTERNATIONAL INC,Industrials,Consulting Services,2006-09-28,
NEOG,NEOGEN CORP,Healthcare,Diagnostics & Research,1989-08-23,
BGC,BGC GROUP INC CLASS A,Financial Services,Capital Markets,1999-12-10,
RELY,REMITLY GLOBAL INC,Technology,Software - Infrastructure,2021-09-23,
CLVT,CLARIVATE PLC,Technology,Information Technology Services,2018-10-29,
PTEN,PATTERSON UTI ENERGY INC,Energy,Oil & Gas Drilling,1993-11-02,
CATY,CATHAY GENERAL BANCORP,Financial Services,Banks - Regional,1990-12-14,
ALIT,ALIGHT INC CLASS A,Technology,Software - Application,2020-07-17,
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,Utilities - Regulated Water,1973-02-21,
YOU,CLEAR SECURE INC CLASS A,Technology,Software - Application,2021-06-30,
COLM,COLUMBIA SPORTSWEAR,Consumer Cyclical,Apparel Manufacturing,1998-03-27,
BTU,PEABODY ENERGY CORP,Energy,Thermal Coal,2017-04-03,
PAG,PENSKE AUTOMOTIVE GROUP VOTING INC,Consumer Cyclical,Auto & Truck Dealerships,1996-10-23,
CARG,CARGURUS INC CLASS A,Consumer Cyclical,Auto & Truck Dealerships,2017-10-12,
MQ,MARQETA INC CLASS A,Technology,Software - Infrastructure,2021-06-09,
SLVM,SYLVAMO CORP,Basic Materials,Paper & Paper Products,2021-09-23,
YETI,YETI HOLDINGS INC,Consumer Cyclical,Leisure,2018-10-25,
VAL,VALARIS LTD,Energy,Oil & Gas Equipment & Services,2021-05-03,
VCYT,VERACYTE INC,Healthcare,Diagnostics & Research,2013-10-30,
EBC,EASTERN BANKSHARES INC,Financial Services,Banks - Regional,2020-10-15,
PTCT,PTC THERAPEUTICS INC,Healthcare,Biotechnology,2013-06-20,
SATS,ECHOSTAR CORP CLASS A,Technology,Communication Equipment,2008-01-02,
GNW,GENWORTH FINANCIAL INC,Financial Services,Insurance - Life,2004-05-25,
CNS,COHEN & STEERS INC,Financial Services,Asset Management,2004-08-16,
DEI,DOUGLAS EMMETT REIT INC,Real Estate,REIT - Office,2006-10-25,
TDW,TIDEWATER INC,Energy,Oil & Gas Equipment & Services,1980-03-17,
FULT,FULTON FINANCIAL CORP,Financial Services,Banks - Regional,1985-09-03,
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financial Services,Banks - Regional,1985-03-14,
UEC,URANIUM ENERGY CORP,Energy,Uranium,2007-04-05,
NSA,NATIONAL STORAGE AFFILIATES TRUST,Real Estate,REIT - Industrial,2015-04-22,
