symbol,asset_name,sector,industry,first_traded,index_inclusion
SPNT,SiriusPoint Ltd.,Financial Services,Insurance—Reinsurance,2013-08-15,
CRAI,"CRA International, Inc.",Industrials,Consulting Services,1998-04-24,
XNCR,"Xencor, Inc.",Healthcare,Biotechnology,2013-12-03,
UNIT,Uniti Group Inc.,Real Estate,REIT—Specialty,2015-04-20,
RCKT,"Rocket Pharmaceuticals, Inc.",Healthcare,Biotechnology,2015-02-18,
TCBK,TriCo Bancshares,Financial Services,Banks—Regional,1993-04-20,
BKD,Brookdale Senior Living Inc.,Healthcare,Medical Care Facilities,2005-11-22,
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2015-05-07,
DBD,"Diebold Nixdorf, Incorporated",Technology,Software—Application,2023-08-14,
HROW,"Harrow, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2007-09-28,
JELD,"JELD-WEN Holding, Inc.",Industrials,Building Products & Equipment,2017-01-27,
SAFE,Safehold Inc.,Real Estate,REIT—Diversified,1989-11-16,
CMPR,Cimpress plc,Industrials,Specialty Business Services,2005-09-30,
FBMS,"The First Bancshares, Inc.",Financial Services,Banks—Regional,2003-01-02,
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2000-05-05,
DOLE,Dole plc,Consumer Defensive,Farm Products,2021-07-30,
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages—Non-Alcoholic,1991-09-13,
SCS,Steelcase Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1998-02-18,
TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,2007-12-13,
BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,Residential Construction,1994-02-23,
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution,2011-07-28,
CIM,Chimera Investment Corporation,Real Estate,REIT—Mortgage,2007-11-29,
LFST,"LifeStance Health Group, Inc.",Healthcare,Medical Care Facilities,2021-06-10,
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,2020-07-31,
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,2017-11-02,
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT—Mortgage,2007-12-03,
DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,2006-05-04,
SBSI,"Southside Bancshares, Inc.",Financial Services,Banks—Regional,1998-05-13,
CARS,Cars.com Inc.,Consumer Cyclical,Auto & Truck Dealerships,2017-06-01,
SOC,Sable Offshore Corp.,Energy,Oil & Gas Drilling,2021-04-19,
VSAT,"Viasat, Inc.",Technology,Communication Equipment,1996-12-03,
WOR,"Worthington Enterprises, Inc.",Industrials,Metal Fabrication,1980-03-17,
ECPG,"Encore Capital Group, Inc.",Financial Services,Mortgage Finance,1999-07-09,
MTTR,"Matterport, Inc.",Technology,Software—Application,2021-02-02,
SYRE,"Spyre Therapeutics, Inc.",Healthcare,Biotechnology,2016-04-07,
WMK,"Weis Markets, Inc.",Consumer Defensive,Grocery Stores,1980-03-17,
WS,"Worthington Steel, Inc.",Basic Materials,Steel,2023-12-04,
PEBO,Peoples Bancorp Inc.,Financial Services,Banks—Regional,1993-02-10,
DHC,Diversified Healthcare Trust,Real Estate,REIT—Healthcare Facilities,2000-02-23,
SAFT,"Safety Insurance Group, Inc.",Financial Services,Insurance—Property & Casualty,2002-11-22,
TVTX,"Travere Therapeutics, Inc.",Healthcare,Biotechnology,2012-11-08,
KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,1995-08-15,
CERT,"Certara, Inc.",Healthcare,Health Information Services,2020-12-11,
UMH,"UMH Properties, Inc.",Real Estate,REIT—Residential,1985-02-20,
BKE,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail,1992-05-08,
ACT,"Enact Holdings, Inc.",Financial Services,Insurance—Specialty,2021-09-16,
SCSC,"ScanSource, Inc.",Technology,Electronics & Computer Distribution,1994-03-18,
WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail,1993-08-25,
KLG,WK Kellogg Co,Consumer Defensive,Packaged Foods,2023-10-02,
FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products,1997-10-24,
SPHR,Sphere Entertainment Co.,Communication Services,Entertainment,2020-04-09,
TPB,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,2016-05-11,
UNFI,"United Natural Foods, Inc.",Consumer Defensive,Food Distribution,1996-11-01,
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,REIT—Mortgage,2021-10-19,
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos,1993-08-06,
MRC,MRC Global Inc.,Energy,Oil & Gas Equipment & Services,2012-04-12,
CDNA,"CareDx, Inc",Healthcare,Diagnostics & Research,2014-07-17,
COGT,"Cogent Biosciences, Inc.",Healthcare,Biotechnology,2018-03-29,
LLYVA,Liberty Live Group,Communication Services,Entertainment,2023-08-14,
APLD,Applied Digital Corporation,Technology,Information Technology Services,2022-04-13,
DCOM,"Dime Community Bancshares, Inc.",Financial Services,Banks—Regional,1999-01-12,
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,1992-05-29,
ASPN,"Aspen Aerogels, Inc.",Industrials,Building Products & Equipment,2014-06-13,
ODP,The ODP Corporation,Consumer Cyclical,Specialty Retail,1988-06-01,
RDFN,Redfin Corporation,Real Estate,Real Estate Services,2017-07-28,
UI,Ubiquiti Inc.,Technology,Communication Equipment,2011-10-14,
AS,"Amer Sports, Inc.",Consumer Cyclical,Leisure,2024-02-01,
APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,2019-05-14,
FIHL,Fidelis Insurance Holdings Limited,Financial Services,Insurance—Diversified,2023-06-29,
IAS,Integral Ad Science Holding Corp.,Communication Services,Advertising Agencies,2021-06-30,
IE,Ivanhoe Electric Inc.,Basic Materials,Copper,2022-06-28,
KURA,"Kura Oncology, Inc.",Healthcare,Biotechnology,2015-09-16,
AORT,"Artivion, Inc.",Healthcare,Medical Devices,1993-02-12,
